Nome do café,Localização,Horário que abre,Horário que fecha,Café,Wifi,Tomadas
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
eaeaea,https://www.niteroicafe.com/,3,5,☕☕,💪,🔌🔌🔌🔌
Alguma coisa,https://www.google.com/search?q=cafe+niteroi&oq=cafe+niteroi&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg7MgYIAhBFGDsyBggDEEUYOzIGCAQQRRg80gEIMTI4MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#rlimm=5568132237412345196,5 AM,8 da noite,☕☕☕,💪💪💪💪💪,🔌🔌🔌
slaporra,https://www.google.com/search?q=numeros&oq=numeros&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIKCAEQABixAxiABDIKCAIQABixAxiABDIKCAMQABixAxiABDIKCAQQABixAxiABDIKCAUQABixAxiABDIKCAYQABixAxiABDIKCAcQABixAxiABDIKCAgQABixAxiABDIKCAkQABixAxiABNIBBzk2MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,5,21,☕,💪💪💪💪,🔌🔌🔌
slaporra,https://www.google.com/search?q=numeros&oq=numeros&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIKCAEQABixAxiABDIKCAIQABixAxiABDIKCAMQABixAxiABDIKCAQQABixAxiABDIKCAUQABixAxiABDIKCAYQABixAxiABDIKCAcQABixAxiABDIKCAgQABixAxiABDIKCAkQABixAxiABNIBBzk2MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,5,21,☕,💪💪💪💪,🔌🔌🔌
dsadsa,https://www.google.com/search?q=cafeterua&oq=cafe&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDsyBggCEEUYQDIGCAMQRRg5MgkIBBAjGCcYigUyBggFEEUYPTIGCAYQRRg8MgYIBxBFGD3SAQczODNqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,8,18,☕☕☕☕,💪💪,🔌🔌🔌🔌🔌
eqwewq,https://best.aliexpress.com/?lan=en&gatewayAdapt=glo2bra,12,18,☕,✘,✘
